Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,49,1000
2,0,2,97,1000
3,0,2,145,1000
4,0,2,193,1000
5,0,2,241,1000
6,0,2,289,1000
7,0,2,338,1000
8,0,2,386,1000
9,0,2,434,1000
10,0,2,482,0
11,0,2,530,0
12,0,2,578,0
13,0,2,626,0
14,0,17,659,0
15,0,66,659,0
16,0,114,659,0
17,0,162,659,0
18,0,210,659,0
19,0,259,659,0
20,0,307,659,0
21,0,341,659,0
22,6,336,658,0
23,8,315,677,0
24,12,295,693,0
25,20,284,696,0
26,36,264,700,0
27,65,254,681,0
28,69,245,686,0
29,100,245,655,0
30,132,205,663,0
31,132,205,663,0
32,150,184,666,0
33,150,184,666,0
34,150,184,666,0
35,150,184,666,0
36,150,184,666,0
37,150,184,666,0
38,150,184,666,0
39,150,184,666,0
40,150,184,666,0
41,150,184,666,0
42,155,184,661,0
43,156,184,660,0
44,158,184,658,0
45,162,184,654,0
46,170,184,646,0
47,186,164,650,0
48,218,164,618,0
49,245,123,632,0
50,252,51,697,0
51,252,51,697,0
52,300,20,680,0
53,300,20,680,0
54,300,20,680,0
55,300,20,680,0
56,300,20,680,0
57,300,20,680,0
58,300,20,680,0
59,300,20,680,0
60,300,20,680,0
61,300,20,680,0
62,300,20,680,0
63,305,20,675,0
64,306,20,674,0
65,308,20,672,0
66,312,20,668,0
67,320,20,660,0
68,336,20,644,0
69,368,20,612,0
70,397,20,583,0
71,398,20,582,0
72,417,20,563,0
73,450,20,530,0
74,450,20,530,0
75,450,20,530,0
76,450,20,530,0
77,450,20,530,0
78,450,20,530,0
79,450,20,530,0
80,450,20,530,0
81,450,20,530,0
82,450,20,530,0
83,450,20,530,0
84,455,20,525,0
85,456,20,524,0
86,458,0,542,0
87,462,0,538,0
88,470,0,530,0
89,486,0,514,0
90,518,0,482,0
91,518,0,482,0
92,550,0,450,0
93,558,0,442,0
94,599,0,401,0
95,600,0,400,0
96,600,0,400,0
97,600,0,400,0
98,600,0,400,0
99,600,0,400,0
100,600,0,400,0
101,600,0,400,0
102,600,0,400,0
103,600,0,400,0
104,600,0,400,0
105,604,0,396,0
106,606,0,394,0
107,608,0,392,0
108,612,0,388,0
109,620,0,380,0
110,636,0,364,0
111,636,0,364,0
112,669,0,331,0
113,698,0,302,0
114,703,0,297,0
115,741,0,259,0
116,750,0,250,0
117,750,0,250,0
118,750,0,250,0
119,750,0,250,0
120,750,0,250,0
121,750,0,250,0
122,750,0,250,0
123,750,0,250,0
124,750,0,250,0
125,750,0,250,0
126,752,0,248,0
127,756,0,244,0
128,758,0,242,0
129,762,0,238,0
130,770,0,230,0
131,770,0,230,0
132,786,0,214,0
133,819,0,181,0
134,848,0,152,0
135,852,0,148,1000
136,884,0,116,1000
137,900,0,100,1000
138,900,0,100,1000
139,900,0,100,1000
140,900,0,100,1000
141,900,0,100,1000
142,900,0,100,1000
143,900,0,100,1000
144,900,0,100,1000
145,900,0,100,1000
146,900,0,100,1000
147,900,0,100,1000
148,906,0,94,1000
149,908,0,92,1000
150,912,0,88,1000
151,912,0,88,1000
152,920,0,80,1000
153,936,0,64,1000
154,968,0,32,1000
155,998,0,2,1000
