Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,113,10000
2,0,2,240,10000
3,0,2,345,10000
4,0,2,463,10000
5,0,2,578,10000
6,0,2,693,10000
7,0,2,805,10000
8,0,2,929,10000
9,0,2,1049,10000
10,0,2,1173,10000
11,0,2,1293,10000
12,0,2,1414,10000
13,0,2,1527,10000
14,0,2,1651,10000
15,0,2,1765,10000
16,0,2,1876,10000
17,0,1,1988,10000
18,0,2,2096,10000
19,0,2,2215,10000
20,0,2,2338,10000
21,0,3,2438,10000
22,0,1,2559,10000
23,0,2,2666,10000
24,0,1,2787,10000
25,0,1,2893,0
26,0,1,3000,0
27,0,1,3121,0
28,0,1,3245,0
29,0,1,3372,0
30,0,1,3501,0
31,0,12,3597,0
32,0,1,3713,0
33,0,1,3839,0
34,0,1,3965,0
35,0,95,3998,0
36,0,220,3998,0
37,0,344,3998,0
38,0,469,3998,0
39,0,595,3998,0
40,0,716,3998,0
41,0,820,3998,0
42,0,927,3998,0
43,0,1045,3998,0
44,0,1149,3998,0
45,0,1250,3998,0
46,0,1375,3998,0
47,0,1476,3998,0
48,0,1604,3998,0
49,0,1730,3998,0
50,0,1858,3998,0
51,0,1972,3998,0
52,0,2093,3998,0
53,0,2220,3998,0
54,0,2348,3998,0
55,0,2472,3998,0
56,0,2598,3998,0
57,0,2720,3998,0
58,0,2847,3998,0
59,0,2962,3998,0
60,0,3068,3998,0
61,0,3180,3998,0
62,0,3294,3998,0
63,0,3385,3998,0
64,0,3490,3998,0
65,0,3606,3998,0
66,0,3732,3998,0
67,0,3858,3998,0
68,0,3984,3998,0
69,0,4103,3998,0
70,0,4225,3998,0
71,0,4325,3998,0
72,0,4450,3998,0
73,0,4576,3998,0
74,0,4701,3998,0
75,0,4827,3998,0
76,0,4947,3998,0
77,0,5069,3998,0
78,0,5184,3998,0
79,0,5283,3998,0
80,0,5409,3998,0
81,0,5525,3998,0
82,0,5651,3998,0
83,0,5779,3998,0
84,0,5902,3998,0
85,0,6001,3998,0
86,0,6002,3998,0
87,0,6002,3998,0
88,0,6002,3998,0
89,0,6002,3998,0
90,0,6002,3998,0
91,0,6002,3998,0
92,0,6002,3998,0
93,0,6002,3998,0
94,0,6002,3998,0
95,0,6002,3998,0
96,0,6002,3998,0
97,0,6002,3998,0
98,0,6002,3998,0
99,0,6002,3998,0
100,0,6002,3998,0
101,0,6002,3998,0
102,0,6002,3998,0
103,0,6002,3998,0
104,0,6002,3998,0
105,0,6002,3998,0
106,0,6002,3998,0
107,0,6002,3998,0
108,0,6002,3998,0
109,0,6002,3998,0
110,0,6002,3998,0
111,0,6002,3998,0
112,0,6002,3998,0
113,0,6002,3998,0
114,0,6002,3998,0
115,0,6002,3998,0
116,0,6002,3998,0
117,0,6002,3998,0
118,0,6002,3998,0
119,0,6002,3998,0
120,0,6002,3998,0
121,0,6002,3998,0
122,0,6002,3998,0
123,0,6002,3998,0
124,0,6002,3998,0
125,0,6002,3998,0
126,0,6002,3998,0
127,0,6002,3998,0
128,0,6002,3998,0
129,0,6002,3998,0
130,0,6002,3998,0
131,0,6002,3998,0
132,0,6002,3998,0
133,0,6002,3998,0
134,0,6002,3998,0
135,0,6002,3998,0
136,0,6002,3998,0
137,0,6002,3998,0
138,0,6002,3998,0
139,0,6002,3998,0
140,0,6002,3998,0
141,0,6002,3998,0
142,0,6002,3998,0
143,0,6002,3998,0
144,0,6002,3998,0
145,0,6002,3998,0
146,0,6002,3998,0
147,0,6002,3998,0
148,0,6002,3998,0
149,0,6002,3998,0
150,0,6002,3998,0
151,0,6002,3998,0
152,0,6002,3998,0
153,0,6002,3998,0
154,0,6002,3998,0
155,0,6002,3998,0
156,0,6002,3998,0
157,0,6002,3998,0
158,0,6002,3998,0
159,0,6002,3998,0
160,0,6002,3998,0
161,0,6002,3998,0
162,0,6002,3998,0
163,0,6002,3998,0
164,148,5854,3998,0
165,148,5854,3998,0
166,359,5643,3998,0
167,359,5643,3998,0
168,575,5427,3998,0
169,575,5427,3998,0
170,772,5230,3998,0
171,958,5044,3998,0
172,958,5044,3998,0
173,1145,4857,3998,0
174,1145,4857,3998,0
175,1334,4668,3998,0
176,1334,4668,3998,0
177,1522,4480,3998,0
178,1739,4263,3998,0
179,1739,4263,3998,0
180,1944,4058,3998,0
181,1944,4058,3998,0
182,2155,3847,3998,0
183,2372,3630,3998,0
184,2372,3630,3998,0
185,2586,3416,3998,0
186,2586,3416,3998,0
187,2796,3206,3998,0
188,2796,3206,3998,0
189,2990,3012,3998,0
190,3182,2820,3998,0
191,3182,2820,3998,0
192,3360,2642,3998,0
193,3360,2642,3998,0
194,3544,2458,3998,0
195,3749,2253,3998,0
196,3749,2253,3998,0
197,3965,2037,3998,0
198,3965,2037,3998,0
199,4171,1831,3998,0
200,4358,1644,3998,0
201,4358,1644,3998,0
202,4571,1431,3998,0
203,4571,1431,3998,0
204,4785,1217,3998,0
205,4785,1217,3998,0
206,4995,1007,3998,0
207,5191,811,3998,0
208,5191,811,3998,0
209,5382,620,3998,0
210,5382,620,3998,0
211,5588,414,3998,0
212,5806,196,3998,0
213,5806,196,3998,0
214,5990,12,3998,0
215,5990,12,3998,0
216,6002,0,3998,0
217,6002,0,3998,0
218,6002,0,3998,0
219,6002,0,3998,0
220,6002,0,3998,0
221,6002,0,3998,0
222,6002,0,3998,0
223,6002,0,3998,0
224,6002,0,3998,0
225,6002,0,3998,0
226,6002,0,3998,0
227,6002,0,3998,0
228,6002,0,3998,0
229,6002,0,3998,0
230,6002,0,3998,0
231,6002,0,3998,0
232,6002,0,3998,0
233,6002,0,3998,0
234,6002,0,3998,0
235,6002,0,3998,0
236,6002,0,3998,0
237,6002,0,3998,0
238,6002,0,3998,0
239,6002,0,3998,0
240,6002,0,3998,0
241,6002,0,3998,0
