Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,122,10000
2,0,2,237,10000
3,0,2,364,10000
4,0,2,458,10000
5,0,2,567,10000
6,0,2,680,10000
7,0,2,798,10000
8,0,2,910,10000
9,0,2,1027,10000
10,0,2,1154,0
11,0,6,1271,0
12,0,2,1369,0
13,0,2,1472,0
14,0,2,1584,0
15,0,1,1687,0
16,0,2,1796,0
17,0,2,1908,0
18,0,1,2009,0
19,0,2,2112,0
20,0,1,2205,0
21,0,8,2319,0
22,121,2,2320,0
23,137,1,2420,0
24,141,1,2513,0
25,157,80,2534,0
26,189,165,2530,0
27,253,212,2519,0
28,349,253,2479,0
29,401,298,2484,0
30,437,317,2535,0
31,437,435,2535,0
32,450,535,2539,0
33,450,640,2539,0
34,450,763,2539,0
35,450,887,2539,0
36,450,991,2539,0
37,450,1112,2539,0
38,450,1223,2539,0
39,450,1341,2539,0
40,450,1464,2539,0
41,450,1588,2539,0
42,510,1697,2494,0
43,581,1651,2594,0
44,589,1706,2624,0
45,600,1804,2618,0
46,623,1904,2613,0
47,642,1982,2619,0
48,703,1929,2729,0
49,799,2010,2653,0
50,887,2014,2653,0
51,887,2059,2731,0
52,899,2152,2722,0
53,900,2252,2724,0
54,900,2373,2724,0
55,900,2496,2724,0
56,900,2624,2724,0
57,900,2752,2724,0
58,900,2873,2724,0
59,900,2988,2724,0
60,900,3117,2724,0
61,900,3227,2724,0
62,900,3349,2724,0
63,966,3456,2673,0
64,1031,3388,2803,0
65,1039,3415,2892,0
66,1053,3535,2885,0
67,1076,3633,2875,0
68,1098,3712,2890,0
69,1154,3748,2899,0
70,1249,3605,3072,0
71,1249,3700,3081,0
72,1394,3602,3123,0
73,1453,3701,3064,0
74,1456,3811,3076,0
75,1479,3935,3053,0
76,1479,4050,3053,0
77,1479,4150,3053,0
78,1583,4276,2949,0
79,1583,4399,2949,0
80,1586,4520,2946,0
81,1586,4622,2946,0
82,1623,4747,2909,0
83,1623,4871,2909,0
84,1697,4921,2899,0
85,1758,4895,2958,0
86,1765,5009,2961,0
87,1780,5117,2955,0
88,1803,5143,3028,0
89,1833,5160,3007,0
90,1881,4942,3177,0
91,1882,4942,3176,0
92,1996,4914,3090,0
93,2151,4867,2982,0
94,2163,4867,2970,0
95,2164,4819,3017,0
96,2164,4819,3017,0
97,2223,4819,2958,0
98,2242,4819,2939,0
99,2246,4819,2935,0
100,2246,4819,2935,0
101,2246,4819,2935,0
102,2246,4819,2935,0
103,2296,4819,2885,0
104,2296,4819,2885,0
105,2357,4819,2824,0
106,2425,4522,3053,0
107,2435,4522,3043,0
108,2445,4255,3300,0
109,2469,4255,3276,0
110,2492,4255,3253,0
111,2704,3944,3352,0
112,2763,3944,3293,0
113,2857,3944,3199,0
114,3033,3944,3023,0
115,3038,3712,3250,0
116,3046,3428,3526,0
117,3046,3428,3526,0
118,3046,3428,3526,0
119,3046,3428,3526,0
120,3046,3428,3526,0
121,3047,3244,3709,0
122,3194,3244,3562,0
123,3374,3244,3382,0
124,3384,3244,3372,0
125,3476,3244,3280,0
126,3545,3244,3211,0
127,3641,3244,3115,0
128,3655,3122,3223,0
129,3665,3122,3213,0
130,3682,2959,3359,0
131,3684,2959,3357,0
132,3774,2959,3267,0
133,3833,2834,3333,0
134,3927,2834,3239,0
135,4081,2702,3217,0
136,4082,2702,3216,0
137,4095,2702,3203,0
138,4095,2702,3203,0
139,4119,2702,3179,0
140,4119,2702,3179,0
141,4119,2702,3179,0
142,4119,2702,3179,0
143,4119,2702,3179,0
144,4119,2702,3179,0
145,4119,2702,3179,0
146,4119,2702,3179,0
147,4121,2702,3177,0
148,4218,2702,3080,0
149,4253,2702,3045,0
150,4291,2643,3066,0
151,4291,2643,3066,0
152,4313,2544,3143,0
153,4345,2544,3111,0
154,4438,2510,3052,0
155,4615,2419,2966,0
156,4692,2419,2889,0
157,4753,2377,2870,0
158,4766,2377,2857,0
159,4852,2291,2857,0
160,4852,2291,2857,0
161,5045,2098,2857,0
162,5185,1958,2857,0
163,5185,1958,2857,0
164,5363,1780,2857,0
165,5363,1780,2857,0
166,5486,1657,2857,0
167,5486,1657,2857,0
168,5486,1657,2857,0
169,5622,1657,2721,0
170,5684,1657,2659,0
171,5686,1657,2657,0
172,5697,1657,2646,0
173,5717,1657,2626,0
174,5912,1548,2540,0
175,5937,1548,2515,0
176,6014,1544,2442,0
177,6099,1544,2357,0
178,6259,1449,2292,0
179,6269,1449,2282,0
180,6272,1449,2279,0
181,6272,1449,2279,0
182,6272,1449,2279,0
183,6436,1285,2279,0
184,6620,1101,2279,0
185,6620,1101,2279,0
186,6620,1101,2279,0
187,6620,1101,2279,0
188,6819,902,2279,0
189,6819,902,2279,0
190,7020,727,2253,0
191,7175,583,2242,0
192,7268,583,2149,0
193,7279,583,2138,0
194,7291,583,2126,0
195,7301,583,2116,0
196,7491,426,2083,0
197,7547,426,2027,0
198,7644,426,1930,0
199,7729,426,1845,0
200,7734,426,1840,0
201,7741,426,1833,0
202,7860,311,1829,0
203,7860,311,1829,0
204,7860,311,1829,0
205,7860,311,1829,0
206,7860,311,1829,0
207,7977,194,1829,0
208,7977,194,1829,0
209,7977,194,1829,0
210,8093,78,1829,0
211,8093,78,1829,0
212,8131,78,1791,0
213,8223,78,1699,0
214,8231,78,1691,0
215,8314,0,1686,0
216,8335,0,1665,0
217,8364,0,1636,0
218,8414,0,1586,0
219,8506,0,1494,0
220,8600,0,1400,0
221,8606,0,1394,0
222,8617,0,1383,0
223,8621,0,1379,0
224,8621,0,1379,0
225,8621,0,1379,0
226,8621,0,1379,0
227,8621,0,1379,0
228,8621,0,1379,0
229,8621,0,1379,0
230,8621,0,1379,0
231,8621,0,1379,0
232,8621,0,1379,0
233,8653,0,1347,0
234,8720,0,1280,0
235,8754,0,1246,0
236,8763,0,1237,0
237,8779,0,1221,0
238,8794,0,1206,0
239,8832,0,1168,0
240,8919,0,1081,0
241,8931,0,1069,0
